Labeler Code,Firm Name
11878,Mowbray Co. Inc.
11896,AIRGAS NATIONAL WELDERS
11914,Aurena Laboratories AB
11917,Air Liquide Industrial U.S. LP
11928,"Mada Medical Products, Inc."
11951,"Chemtrade Solutions, LLC"
11960,The Hygenic Corporation
11980,"Allergan, Inc."
11988,Lubbock Welding Supply
11993,DERSAN PHARMACEUTICAL CO LTD
11994,"Lantheus Medical Imaging, Inc."
11999,Welders Supply Company
12017,"Mark Anderson and Associates, Incorporated"
12022,J. Strickland & Co.
12027,"Markwins Beauty Products, Inc"
12064,GlaxoSmithKline Manufacturing SpA
12065,Buchler GmbH
12070,DCS Pharma AG
12072,Bayer Bitterfeld GmbH
12079,"Kyowa Pharma Chemical Co., Ltd."
12090,SANTUS LLC
12094,Hayward Laboratories
12120,Crystal Claire Cosmetics Inc.
12121,"Badger Welding Supplies, Inc"
12164,Halocarbon Products Corp.
12165,"GF Health Products, Inc."
12201,CENTRAL NEBRASKA HOME CARE SERVICES
12213,"NEXAIR, LLC"
12258,S.S.S. Company
12286,"ADM Alliance Nutrition, Inc."
12294,"Kongo Chemical Co., Ltd."
12344,"JIANGSU YONGDA PHARMACEUTICAL CO., LTD"
12462,"Chester Packaging, LLC"
12477,SGS Northview Laboratories
12487,Osborn
12496,Indivior Inc.
12497,"Kyowa Hakko Bio Co., Ltd."
12502,Cilag AG
12516,Recipharm HC Limited
12522,Sanofi S.r.l.
12526,DANISCO A/S
12527,Bayer AG
12538,"Spera Nexus, Inc."
12541,MILOTT LABORATORIES COMPANY LIMITED
12543,"Meiji Seika Pharma Co., Ltd."
12546,Mondel?z Global LLC
12562,PHARMA WALDHOF GMBH
12569,Dermstore.com
12578,"Janssen Pharmaceutica, NV"
12579,Sanofi Winthrop Industrie
12580,Xellia Pharmaceuticals AS
12598,PharmaZell GmbH
12613,AbbVie Deutschland GmbH & Co Kg
12634,Apotheca Inc.
12651,Cambrex Karlskoga AB
12654,Dr. Paul Lohmann GmbH KG
12657,Schutz & Co. (GmbH & Co.KG)
12658,Pharmaceutical Works POLPHARMA S.A.
12660,"Societa Italiana Medicinali Scandicci S.I.M.S., SrL"
12665,Abic Ltd.
12666,"Zhejiang Apeloa Jiayuan Pharmaceutical Co., Ltd."
12693,COMMONWEALTH SUPPLY COMPANY
12698,Bristol Myers Squibb Srl
12701,DSM Anti-Infectives BV
12707,Macfarlan Smith Limited
12711,Recordati Industria Chimica e Farmaceutica SpA
12714,Boehringer Ingelheim Pharma GmbH and Co. KG
12719,Productos Roche S.A. de C.V.
12721,LAXMI INDUSTRIAL CORPORATION
12728,Honeywell
12745,Medical Chemical Corporation
12753,"China Resource Sanjiu Medical & Pharmaceutical Co., Ltd"
12776,CF Pharma Ltd.
12780,Fermion Oy
12783,Bristol-Myers Squibb Manufacturing Company
12784,"SPI Pharma, Inc."
12785,"Yuki Gosei Kogyo Co., Ltd."
12790,Mehta Pharmaceuticals Pvt Ltd.
12806,F. Hoffmann-La Roche Ltd
12817,Regis Technologies Inc.
12822,QPharma AB
12823,Tyco Healthcare Group LP
12826,DIASPA trade mark of STRIDES ITALIA s.r.l
12828,Cambrex Profarmaco Milano Srl
12829,Beauty Quest Group
12830,R.A. McNeil Company
12836,Ercros SA
12838,Astellas Pharma Inc.
12839,"Yoneyama Yakuhin Kogyo Co.,Ltd."
12848,"Asahi Kasei Finechem Co., Ltd."
12854,Sanofi-Aventis Deutschland GmbH
12860,N V Organon
12862,Septodont SAS
12863,"Shiratori Pharmaceutical Co., Ltd."
12866,Bayer AG
12869,"Corden Pharma Colorado, Inc"
12870,Arzol Chemical Company
12871,Roche Diagnostics GmbH
12875,"Productos Quimicos Naturales, S.A. de C.V. [PROQUINA]"
12877,Nordion (Canada) Inc.
12884,Pak Lab
12888,AMO Uppsala AB
12943,SCORA
12948,Arbor Pharmaceuticals
12961,Brisas del Caribe Corp.
12994,Animal Medic Inc.
13032,Apotek Produktion & Laboratorier AB
13101,Archer Daniels Midland Company
13105,"I-MED PHARMA, dba I-MED ANIMAL HEALTH"
13107,Aurolife Pharma LLC
13108,"NukeMed, Inc. dba SpectronRx"
13136,"fiteBac SkinCare, LLC"
13141,Busse Hospital Disposables
13267,THE FEINSTEIN INSTITUTE FOR MEDICAL RESEARCH
13273,ANDAPharm
13298,ALFA VITAMINS LABORATORIES INC
13299,"Sucampo Pharma, LLC"
13302,Romaine Companies
13310,AR Scientific Inc.
13317,"Yidu Huayang Chemical Co., Ltd."
13327,"NORTH CHINA PHARMACEUTICAL GOODSTAR CO., LTD."
13330,Ursapharm Arzneimittel GmbH
13337,Macsen Laboratories
13340,Phytoneering Extract Solutions GmbH
13371,"MINSHENG GROUP SHAOXING PHARMACEUTICAL CO., LTD."
13403,"Zhejiang Jiangbei Pharmaceuticaol Co., Ltd."
13411,"Advanced Pharmaceutical Services, Inc. Dba Affordable Quality Pharmaceuticals"
13447,"Changzhou Wujin Feida Chemical Co., Ltd."
13461,Century Pharmaceuticals Limited
13467,Prairie Winds DME LLC
13483,"Mallinckrodt, Inc."
13517,"e5 Pharma, LLC"
13533,"GRIFOLS USA, LLC"
13537,Ventura Corporation LTD
13538,Curia Italy S.r.l.
13548,"Bausch Health US, LLC"
13551,"Avadel CNS Pharmaceuticals, LLC"
13564,"Fragrance Manufacturing, Inc."
13612,"Wisdom Pharmaceutical Co., Ltd."
13630,"Prime Packaging, Inc"
13632,Rosemont Pharmaceuticals Ltd
13633,Mountaineer Home Medical LLC
13636,Amishi Drugs and Chemicals Limited
13668,Torrent Pharmaceuticals Limited
13672,SkyePharma Production SAS
13709,"NeilMed Pharmaceuticals, Inc."
13719,"NetQem, LLC"
13733,"Able C&C Co., Ltd."
13734,Nars Cosmetics
13741,"Boujuior (Shanghai) Cosmetics Co., Ltd."
13744,Ceva Sante Animale
13746,Srikem laboratories Pvt. Ltd.
13790,Biovail Technologies Ltd.
13808,Fresenius Kabi Oncology Limited
13811,"Trigen Laboratories, LLC"
13826,Four Corners Welding and Gas Supply
13838,"Phytodyne of Kentucky, Inc."
13840,"Nanyang Pukang Pharmaceutical Co., Ltd."
13845,"Parsolex Gmp Center, Inc."
13859,"Craig's Drug Store, Inc."
13893,Par Pharmaceutical
13903,"Shanghai No. 1 Biochemical and Pharmaceutical Co., Ltd."
13906,FG Nutraceutical Inc.
13913,"Assertio Therapeutics, Inc."
13924,NUSIL TECHNOLOGY LLC
13925,Seton Pharmaceuticals
13936,"YIXING CITY XINGYU MEDICINE CHEMICALS CO., LTD."
13975,"Kent Nutrition Group, Inc"
13985,MWI/VetOne
13992,TJL Enterprises Inc.
14034,Vignesh Life Sciences PVT. LTD
14037,PF Consumer Healthcare Canada ULC
14043,Patterson Veterinary
14051,"Top Chemical Co., Inc."
14060,"CAO Group, Inc."
14077,"Cleveland Home Respiratory Care, Inc."
14080,KTL&C LLC dba RX Positive Medical Supply
14096,Mylan API US LLC
14136,Oman Pharmaceutical Products Co. LLC
14138,Yobel Supply Chain Management S.A. de C.V.
14141,Bel Star S.A.
14171,Grassroots Life
14202,Pharmpur GmbH
14208,"California Tool and Welding Supply, LLC"
14209,"Original 7, Inc."
14214,"Leading Respiratory Services, Inc"
14217,"Southold Pharmacy, Inc"
14222,Rodan & Fields
14268,"Englewood Lab, Inc."
14269,"Healthwise Pharmacy of Greenville, Inc. dba Healthwise Pharmacy"
14288,Boehringer Ingelheim Roxane Inc
14290,"Triax Pharmaceuticals, LLC"
14319,Dah Wei Chem & Pharm Co. Ltd.
14324,NAOS
14335,"Hainan Poly Pharm. Co., Ltd"
14341,"Ningbo Venus Cosmetic Co., Ltd."
14350,IntelGenx Corp
